time,open,high,low,close,CVD (Ouverture),CVD (Haut,CVD (Bas),CVD (Fermer)
2025-08-27T20:00:00+01:00,862.96,864.13,858.5,860.71,-11243.651000000002,-11076.617000000002,-12039.130000000001,-11485.259000000002
2025-08-27T21:00:00+01:00,860.71,865.45,855.42,864.84,-11485.259000000002,-9640.331000000002,-12537.490000000002,-9883.376000000002
2025-08-27T22:00:00+01:00,864.84,865.86,858.11,860,-9883.376000000002,-9883.376000000002,-12028.484000000002,-10470.978000000003
2025-08-27T23:00:00+01:00,860,860.15,854.02,857.92,-10470.978000000003,-10470.978000000003,-12347.893000000004,-10985.365000000003
2025-08-28T00:00:00+01:00,857.92,859.49,854.85,855.18,-10985.365000000003,-10912.933000000003,-12100.253000000004,-12100.253000000004
2025-08-28T01:00:00+01:00,855.18,858.8,850.85,853.87,0,1087.1470000000002,-777.6709999999998,481.13700000000006
2025-08-28T02:00:00+01:00,853.87,857.44,853.76,856.38,481.13700000000006,1419.4650000000001,364.5680000000001,1007.4820000000001
2025-08-28T03:00:00+01:00,856.38,857.94,854.91,856.62,1007.4820000000001,1852.1490000000003,345.9780000000002,1317.6290000000004
2025-08-28T04:00:00+01:00,856.62,865,856.23,864.32,1317.6290000000004,10621.474,1255.8190000000002,10621.474
2025-08-28T05:00:00+01:00,864.32,868.85,862.91,868.66,10621.474,15450.907000000001,10379.97,15450.907000000001
2025-08-28T06:00:00+01:00,868.66,872.81,866.83,868.62,15450.907000000001,17728.707000000002,15237.604000000001,16377.571000000002
2025-08-28T07:00:00+01:00,868.61,871.65,868.4,871.42,16377.571000000002,17045.567000000003,16248.315000000002,16848.344
2025-08-28T08:00:00+01:00,871.43,872.5,868.39,869.25,16848.344,17010.479,15150.073,15241.535000000002
2025-08-28T09:00:00+01:00,869.25,873.03,869.03,869.95,15241.535000000002,16698.732000000004,15241.535000000002,15944.652000000002
2025-08-28T10:00:00+01:00,869.94,869.94,865.59,865.95,15944.652000000002,16380.431000000002,14619.255000000001,14900.655000000002
2025-08-28T11:00:00+01:00,865.95,870.68,865.25,870.65,14900.655000000002,16336.672000000002,14318.431000000002,16336.672000000002
2025-08-28T12:00:00+01:00,870.66,874.37,869.3,874.27,16336.672000000002,17956.818000000003,15712.092000000002,17956.818000000003
2025-08-28T13:00:00+01:00,874.27,877.2,871.44,876.87,17956.818000000003,19441.447000000004,17388.518000000004,18894.817000000003
2025-08-28T14:00:00+01:00,876.88,879.32,872.88,874.13,18894.817000000003,20029.159000000003,15209.313000000004,16089.878000000004
2025-08-28T15:00:00+01:00,874.14,875.5,867.74,874.49,16089.878000000004,17341.454000000005,14022.287000000004,16365.364000000003
2025-08-28T16:00:00+01:00,874.48,874.59,866.56,869.67,16365.364000000003,16434.371000000003,13758.714000000004,14768.688000000004
2025-08-28T17:00:00+01:00,869.66,871.9,863.48,864.72,14768.688000000004,15496.910000000003,13139.535000000003,13139.535000000003
